x_2dvec,y,W_0,b,V_0,c
"[5.449771881103516, -5.005749702453613]",0.0,"[3.6743454933166504, 4.31304931640625]","[2.0706424713134766, 5.691368103027344]",[-5.222164630889893],[-0.011049962602555752]
"[-5.242140293121338, 3.3454084396362305]",1.0,"[-1.8544585704803467, 1.647621512413025]",,[5.218961238861084],
"[5.253387451171875, -2.6918599605560303]",0.0,,,,
"[1.112046241760254, -1.779720664024353]",1.0,,,,
"[-4.207711696624756, 4.094024181365967]",0.0,,,,
"[6.857133388519287, -0.09672139585018158]",0.0,,,,
"[6.515528678894043, 3.540621280670166]",0.0,,,,
"[6.55325174331665, -7.747551918029785]",1.0,,,,
"[-0.6141612529754639, -6.911807537078857]",0.0,,,,
"[3.5963332653045654, 3.1460225582122803]",1.0,,,,
