x_2dvec,y,W_0,b,V_0,c
"[-0.35790419578552246, 1.3615809679031372]",1.0,"[-0.9853677153587341, -7.074642181396484]","[2.9536540508270264, 2.3976550102233887]",[-8.660998344421387],[6.6995649337768555]
"[0.4457733631134033, -0.18989919126033783]",0.0,"[-0.7950305342674255, -5.966731548309326]",,[-6.977560043334961],
"[0.04740971326828003, 1.3306270837783813]",1.0,,,,
"[-1.078119158744812, -0.8334423303604126]",0.0,,,,
"[0.38215160369873047, 1.4212208986282349]",1.0,,,,
"[-0.03152903541922569, -0.6567019820213318]",0.0,,,,
"[-0.38046762347221375, 0.3322669267654419]",0.0,,,,
"[0.7018601894378662, -0.1543218493461609]",0.0,,,,
"[-0.3173952102661133, 0.6941980123519897]",1.0,,,,
"[1.5256736278533936, -0.7967710494995117]",0.0,,,,
