x_2dvec,y,W_0,b,V_0,c
"[-3.6602017879486084, -5.3204193115234375]",1.0,"[-1.6270333528518677, 2.4457170963287354]","[1.3382962942123413, -2.034083604812622]",[-4.780150413513184],[-2.876288652420044]
"[-2.9420101642608643, 6.684603691101074]",1.0,"[-1.498371958732605, 0.24499352276325226]",,[6.9041972160339355],
"[6.660358428955078, 12.391963005065918]",0.0,,,,
"[-3.5712733268737793, 6.208014965057373]",0.0,,,,
"[0.7079447507858276, 5.266168594360352]",0.0,,,,
"[4.196635723114014, -4.892032146453857]",0.0,,,,
"[6.234555244445801, 3.784851551055908]",0.0,,,,
"[-1.954852819442749, 2.2765023708343506]",0.0,,,,
"[-3.8856747150421143, -5.649693012237549]",1.0,,,,
"[-4.678018569946289, -1.4580696821212769]",0.0,,,,
