x_2dvec,y,W_0,b,V_0,c
"[1.4744811058044434, 0.11316340416669846]",0.0,"[-0.6469311714172363, 0.3500143885612488]","[-0.6405068039894104, 0.21119318902492523]",[0.43381866812705994],[-0.8032028675079346]
"[0.44300296902656555, 0.38614150881767273]",1.0,"[-0.641152024269104, 0.36473557353019714]",,[-0.20941123366355896],
"[-0.6936278939247131, -0.746593177318573]",0.0,,,,
"[-0.7860686182975769, -0.9591880440711975]",0.0,,,,
"[-1.8829123973846436, 0.03359620273113251]",0.0,,,,
"[0.45275676250457764, -0.9689624309539795]",0.0,,,,
"[-0.12008082121610641, -0.8304376006126404]",0.0,,,,
"[0.05480606108903885, 0.39391306042671204]",0.0,,,,
"[-1.3050248622894287, -0.3176230788230896]",1.0,,,,
"[0.922709584236145, 1.8049366474151611]",1.0,,,,
