x_2dvec,y,W_0,b,V_0,c
"[-4.056734085083008, -1.5791963338851929]",1.0,"[3.3776023387908936, -8.456486701965332]","[4.703772068023682, -0.07312824577093124]",[4.823303699493408],[-4.827974796295166]
"[-4.086216926574707, -7.326559543609619]",0.0,"[0.9276854395866394, 2.919128656387329]",,[-4.450705051422119],
"[5.738236904144287, 6.5103559494018555]",0.0,,,,
"[-3.5467495918273926, -9.485239028930664]",1.0,,,,
"[-5.446354866027832, -1.4915316104888916]",0.0,,,,
"[-3.0576229095458984, 7.256491184234619]",0.0,,,,
"[-9.07657527923584, 3.4353950023651123]",0.0,,,,
"[-3.5682761669158936, -2.8034913539886475]",0.0,,,,
"[4.242043495178223, 2.5633764266967773]",0.0,,,,
"[-8.374388694763184, 4.5133233070373535]",0.0,,,,
