x_2dvec,y,W_0,b,V_0,c
"[-0.0486893430352211, -2.2303829193115234]",1.0,"[5.643694575517591, 1.0222386872534208]","[-2.2572545433446023, -4.320672918440886]",[-4.110756147780476],[-0.5643030020073204]
"[-2.727902889251709, 0.37364351749420166]",0.0,"[0.4458789569177246, 0.5004227524606176]",,[6.416580076075282],
"[2.248098611831665, -0.6950026750564575]",0.0,,,,
"[7.171898365020752, 1.2416132688522339]",0.0,,,,
"[-0.3594379425048828, 5.742368221282959]",0.0,,,,
"[5.917527675628662, 7.340204238891602]",1.0,,,,
"[3.458981513977051, 0.28716620802879333]",0.0,,,,
"[-1.4326375722885132, 8.483637809753418]",1.0,,,,
"[-0.974902868270874, 9.571220397949219]",0.0,,,,
"[-2.9930922985076904, 1.5476845502853394]",0.0,,,,
